TIC,role,verdict,sector,lc_pts_in_sector,t0_shift_phase,lc_dip_sigma,compactness,n_in,n_out,dip_sigma,diff_peak_snr,centroid_offset_px,centroid_offset_arcsec,nearest_capable_TIC,nearest_capable_dist_px,nearest_capable_dTmag,n_capable_in_cutout,note
410907337,candidate,OFF_TARGET,10,1106,-0.0025000000000000022,24.97637020206815,0.8493038614903174,32,461,28.60984905495572,66.00413879121845,1.6669624640891259,35.006211745871646,410907372,0.18845569095388337,-0.010200000000001097,146,
93622174,candidate,OFF_TARGET,10,1081,0.03500000000000003,14.083669497287122,0.9267235374333934,125,436,123.82243112370256,109.1130646175701,1.2013819777023949,25.22902153175029,93622189,0.08042710461211484,0.24490000000000123,70,
54282826,candidate,UNRESOLVED,7,1071,0.49750000000000005,38.04189295621535,0.9513282144646432,77,432,11.520228183197087,34.84428378865179,0.191548333251471,4.022514998280891,750645713,0.11773074996183067,1.4900000000000002,65,a capable neighbour is as close to the dimming as the target
365996460,candidate,OFF_TARGET,13,1176,0.0,24.440765522982947,0.884816018193013,20,515,16.91401006122454,27.19264401078424,1.322560371241911,27.77376779608013,365996476,0.1555565294295822,-0.05269999999999975,22,
294658624,candidate,INCONCLUSIVE,10,1106,0.002500000000000058,25.741057992857417,0.3302772616905844,16,450,14.497847222864507,5.6795914364023465,6.711516931064018,140.94185555234438,294824278,1.9792129402250342,3.7707999999999995,131,dimming is spread across the cutout rather than one star (background/systematics) - source cannot be located
360088761,candidate,OFF_TARGET,11,1080,-0.007500000000000007,21.973619479215216,0.959664907806401,62,469,17.74000687419019,39.13737097295868,2.0262125493591987,42.55046353654317,360088758,0.06877591809439267,-0.5535999999999994,71,
309223749,candidate,INCONCLUSIVE,10,1098,-0.03999999999999998,13.162222244723221,,0,0,,,,,,,,,too few in/out-of-eclipse cadences in this sector
402630334,candidate,INCONCLUSIVE,81,9433,-0.0050000000000000044,25.604536694308734,0.3871966971951406,484,4381,12.511120132692444,54.7131601989894,5.262007900639376,110.5021659134269,402630241,0.7558075072530999,0.12979999999999947,81,dimming is spread across the cutout rather than one star (background/systematics) - source cannot be located
313371518,candidate,OFF_TARGET,11,1080,0.0025000000000000577,14.061046036307788,0.9696265546288378,49,468,7.724621860715413,7.784896506468262,1.3797574270416189,28.974905967873998,313371439,0.05583130370700614,1.325000000000001,692,
111122174,candidate,UNRESOLVED,81,9466,-0.007500000000000007,12.1122683153516,0.7267073595906243,995,4166,3.103444133483053,5.343128665204999,0.8434710979783624,17.71289305754561,1895056428,0.3931990914574115,8.24991,39,a capable neighbour is as close to the dimming as the target
