TIC,verdict,bls_depth,bls_snr,n_eclipses_observed,target_Tmag,tic_contratio,dm_max,n_neighbours,n_capable_neighbours,blend_status,best_nbr_TIC,best_nbr_dTmag,best_nbr_sep_arcsec,best_nbr_required_depth,capable_nbr_known_as
458340718,NOVEL,0.0205926840581518,48.787422904593946,8.0,14.7309,,4.215717608968023,184,80,BLEND_POSSIBLE,458340704.0,-1.2139000000000006,14.988882808181607,0.006732137171461344,
459536921,NOVEL,0.0311563494790435,32.903109424360174,8.0,14.1162,,3.7661335833702196,205,49,BLEND_POSSIBLE,459536956.0,-1.9037999999999986,60.270903315624615,0.0053954362645578634,
46387913,KNOWN_OTHER_TYPE,0.0209063849117579,79.7023409087892,24.0,14.4422,,4.199302644953546,16,8,BLEND_POSSIBLE,46387914.0,1.1301000000000005,8.248616129731834,0.05919962313595341,
464366239,NOVEL,0.0185895476290496,16.93403470414399,3.0,13.7705,,4.326827946306931,90,38,BLEND_POSSIBLE,464366281.0,0.08000000000000007,54.61311287692888,0.020011001359786867,
464765654,NOVEL,0.046196883600501,460.780956732253,15.0,14.2014,,3.338468301410311,139,22,BLEND_POSSIBLE,464765614.0,-1.9428,34.12625000205647,0.007717785062056678,
467213914,KNOWN_OTHER_TYPE,0.0758144021115869,842.8159915980361,155.0,13.0089,,2.800620714037985,27,3,BLEND_POSSIBLE,467213929.0,1.6319999999999997,55.61731272685995,0.34084090861903155,
467851846,NOVEL,0.0070885348569819,102.36013145710108,23.0,14.5842,,5.37360880177535,407,334,BLEND_POSSIBLE,467851873.0,-2.777199999999999,10.54294814006561,0.0005491316546354112,
59656329,NOVEL,0.0082401928551672,71.04230286649613,46.0,12.823,0.093006134,5.210156559666556,23,9,BLEND_POSSIBLE,59656331.0,0.9953000000000003,29.12115096482132,0.020609021681384496,
60234259,KNOWN_OTHER_TYPE,0.0083944442318096,78.50327041494315,20.0,14.3287,,5.190020129412861,21,14,BLEND_POSSIBLE,60234265.0,-2.1411999999999995,29.74655182124701,0.0011681858683472864,
66732476,NOVEL,0.098141164207321,369.6589519011568,8.0,12.4829,0.00150671473,2.5203719861797804,4,0,BLEND_RULED_OUT,,,,,
67408849,NOVEL,0.0158375653531966,62.32888585164957,15.0,13.9485,,4.500778950006994,142,55,BLEND_POSSIBLE,67131170.0,-0.9574999999999996,36.79190957763225,0.0065567469061596235,
72005925,KNOWN_OTHER_TYPE,0.0028686454829899,22.1020309823292,6.0,14.644,,6.355807800084361,28,28,BLEND_POSSIBLE,72005923.0,-1.8811999999999998,13.680237482626143,0.0005072205959341722,
73561499,NOVEL,0.0213216788763715,390.4322176762722,67.0,11.4592,,4.177946504503281,124,7,BLEND_POSSIBLE,73561494.0,0.38890000000000136,41.62299045923131,0.030505728321857748,
76879277,NOVEL,0.0749384754400554,380.0923082697573,172.0,11.608,,2.813237866266289,50,4,BLEND_POSSIBLE,76879303.0,-1.7850000000000001,27.84972135713848,0.01447787602757379,
806803694,NOVEL,0.0510637464363392,340.48280100376246,3.0,14.8211,,3.229718312796291,32,16,BLEND_POSSIBLE,341624499.0,-3.7767,28.12878737248997,0.001575551758919143,
81551538,NOVEL,0.0022092639516128,39.27430753225786,7.0,14.1236,,6.6393809843359115,55,55,BLEND_POSSIBLE,81551562.0,-5.3553,49.76079624138045,1.5926766253785852e-05,
87175731,NOVEL,0.0231636507815942,53.1928150802693,19.0,13.3591,,4.087982477932597,188,33,BLEND_POSSIBLE,87175673.0,-0.9459,48.621340941790805,0.009692749943628827,
91599324,NOVEL,0.0624009737728471,147.27486856777858,3.0,14.2144,,3.012021582649935,39,13,BLEND_POSSIBLE,91599294.0,-2.8072999999999997,58.499282009899794,0.004701878115606746,
97032752,KNOWN_OTHER_TYPE,0.0086952226874071,104.80022741634536,31.0,12.3418,0.304796159,5.151798227749012,38,11,BLEND_POSSIBLE,97032744.0,0.4560000000000013,31.209265165514125,0.013233682438406086,
100424264,NOVEL,0.0140513869181793,317.36829543381776,17.0,14.9756,,4.630702018367872,733,615,BLEND_POSSIBLE,100424309.0,-4.8003,27.13190078234404,0.000168888155518166,
111122174,NOVEL,0.0003540693232247,33.27088068936675,18.0,8.44199,,8.627279247855954,89,15,BLEND_POSSIBLE,111122157.0,4.82751,41.883217707455486,0.03020593620698477,
111381330,NOVEL,0.0161697265128179,79.8373098073775,48.0,12.7461,1.2583667,4.478243313712429,69,19,BLEND_POSSIBLE,111381305.0,-0.6038999999999994,27.83602444746124,0.00927134355728686,
120017739,NOVEL,0.0246961188118027,25.547916887953768,3.0,14.6686,,4.018428235379308,80,42,BLEND_POSSIBLE,119928841.0,0.20080000000000098,58.13621042984805,0.02971315071517779,
121490919,NOVEL,0.0137039352817923,19.961480493786684,9.0,14.5302,,4.65788675259229,2,1,BLEND_POSSIBLE,2055489334.0,4.5472,58.7366359924137,0.9030780758167131,
125941416,NOVEL,0.0102954030317123,53.02911950145998,10.0,14.9458,,4.968391618724,124,99,BLEND_POSSIBLE,125941388.0,-3.0660000000000007,38.41087172551727,0.000611284456005918,
127263318,NOVEL,0.030948932810048,85.99470849438636,8.0,14.6218,,3.773385804630501,101,37,BLEND_POSSIBLE,127263285.0,-2.1479999999999997,47.38796091733613,0.0042800188146856705,
135330868,NOVEL,0.066781109840227,161.69653810564594,11.0,13.3687,,2.938365919123513,173,7,BLEND_POSSIBLE,135330863.0,-2.6584000000000003,60.3631559983783,0.005771565548272754,
154831865,NOVEL,0.0861595001300866,254.98950809912017,9.0,13.1965,,2.661742073351754,80,9,BLEND_POSSIBLE,154677625.0,0.036599999999999966,53.79752369545889,0.08911343216635084,
222705458,NOVEL,0.1022785516309667,121.3795262904901,3.0,12.3584,0.9460864,2.475538576641941,112,4,BLEND_POSSIBLE,222541303.0,0.4480000000000004,43.10499773960984,0.15451995370050214,
229494598,NOVEL,0.0020298333573652,153.3257672739347,161.0,10.6245,0.03524362,6.731349036925605,21,6,BLEND_POSSIBLE,229494603.0,3.8450000000000006,43.724808211063866,0.0700584275189681,
229494833,NOVEL,0.0003716524502771,14.90248105384826,19.0,9.9796,,8.574657498950536,15,10,BLEND_POSSIBLE,229494834.0,3.7124000000000006,43.85112185445968,0.011352643506035874,
233459038,NOVEL,0.0831463073204632,236.6169478798572,6.0,13.2613,,2.7003925845704932,2,0,BLEND_RULED_OUT,,,,,
233666475,NOVEL,0.0161249124060782,62.63374900680092,19.0,14.911,,4.481256589663552,262,209,BLEND_POSSIBLE,233661296.0,-3.0055999999999994,52.87348689191523,0.001012179096754266,
237507898,NOVEL,0.0468143392549513,104.10800026056394,6.0,14.8816,,3.324052754843234,34,17,BLEND_POSSIBLE,237507887.0,-2.7315000000000005,31.468037293271102,0.003782499663529011,
247637164,NOVEL,0.0263011406318284,72.46006206422604,4.0,14.6928,,3.9500635413832894,33,19,BLEND_POSSIBLE,247637160.0,-1.5067000000000004,23.10388817227761,0.006565904828815944,
251898081,NOVEL,0.1863041391168927,5534.523510196895,5.0,10.4141,,1.824443740702795,42,1,BLEND_POSSIBLE,251898060.0,1.737400000000001,50.13065381568829,0.9229592011330802,
257301155,KNOWN_OTHER_TYPE,0.0224232223979701,86.05941988794083,6.0,13.112,,4.1232549390878335,13,6,BLEND_POSSIBLE,257301156.0,1.3491999999999997,8.25357974761893,0.07769230820914087,
261590581,KNOWN_OTHER_TYPE,0.1390722820964522,146.36275051271326,10.0,14.3989,0.00419874629,2.1418985469119693,4,0,BLEND_RULED_OUT,,,,,
273148514,NOVEL,0.0033705797919588,222.5955971521154,27.0,9.345,,6.180738468303607,197,8,BLEND_POSSIBLE,273148407.0,4.200699999999999,60.047501852282295,0.16143013601200618,
273150032,NOVEL,0.0260029719632163,94.88238556844028,6.0,12.5171,,3.9624425307015216,245,22,BLEND_POSSIBLE,273150092.0,-0.1034999999999986,29.189875408804077,0.023638667270601293,
281310348,NOVEL,0.0727297763991251,179.71717247011716,11.0,13.4914,,2.8457193690603937,40,5,BLEND_POSSIBLE,281310387.0,-1.7544000000000004,59.43590625704879,0.014452808635435528,
282344989,NOVEL,0.3542417296442593,471.1469792476249,3.0,12.8738,,1.1267507007025896,228,1,BLEND_POSSIBLE,255797659.0,0.8122000000000007,52.91853528785354,0.7484791720430177,
29454613,NOVEL,0.065433708631412,545.6333542732605,30.0,12.3393,,2.9604961604907905,37,5,BLEND_POSSIBLE,29454598.0,-0.073599999999999,41.703181035027335,0.06114508257015242,
294658624,NOVEL,0.0218178270406439,38.67877886705848,4.0,13.5995,,4.152971263522559,171,39,BLEND_POSSIBLE,294658628.0,-0.9893000000000001,43.46785631847542,0.008771856019494834,
295348592,NOVEL,0.0069873355023653,61.04780725279149,67.0,13.311,,5.389221008141605,432,144,BLEND_POSSIBLE,295348659.0,-0.9818999999999996,44.69934042888648,0.002828470130003645,
297350195,NOVEL,0.0087023838923125,20.988624373735213,17.0,14.5614,,5.150904405965081,270,190,BLEND_POSSIBLE,297350107.0,-1.1554000000000002,54.47018876642947,0.0030024669642356784,
298231916,NOVEL,0.0422542225817544,221.65324097645257,33.0,13.3823,,3.435324710731183,688,50,BLEND_POSSIBLE,298231787.0,-0.38870000000000005,48.74197341272398,0.029538614140093906,
299139880,NOVEL,0.0455831582994897,110.3176001204469,6.0,13.3491,,3.3529889683738787,157,17,BLEND_POSSIBLE,299139891.0,0.9419000000000004,42.221300308639606,0.10853365100411712,
308628103,NOVEL,0.0685510758389176,79.93675623358139,8.0,13.6622,,2.90996431253486,201,21,BLEND_POSSIBLE,308628241.0,-1.1441,48.957252191733474,0.02389869985652922,
309223749,NOVEL,0.0033844474747381,35.76623966566716,6.0,12.7173,,6.176280553974729,212,91,BLEND_POSSIBLE,309223758.0,1.1135000000000002,21.784391819591992,0.00943816962697033,
