TIC,bls_period,bls_depth,bls_snr,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,period_check_source,period_check
330901906,3.732068126022025,0.0049831981812006,60.09782681820708,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
33091659,0.8148588033465871,0.0022994902557711,75.17649863455252,KNOWN_OTHER_TYPE,False,True,Gaia DR3 3101630183499022720,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.5004413,,no_catalog_period
331023501,27.52922125650633,0.7270180951111554,1227.5979529740605,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
332950091,12.52201840032675,0.078382743606735,49.134847486744064,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
333584947,27.89193182635114,0.7078190212567409,539.4235872885062,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
333745611,13.419642990112909,0.1527860209056824,698.5331942374071,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
335217393,33.73200065710837,0.5713247852951269,187.59315578374645,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
34044618,12.959199189643147,0.0602078056855171,160.00626527378307,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
341194762,33.44706829871666,0.0327620934161151,329.7035151615128,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
341797047,33.87109125883954,0.0411909934028201,162.20313656599106,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
343034455,3.110793937829511,0.0398908938207056,27.58901255002687,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
3516691,0.9593438431486404,0.0133155272651564,50.16086867429706,NOVEL,False,False,,,,False,True,,,,False,,False,,,,no_catalog_period
