span_days,max_period,period_over_max,n_eclipses_observed,n_eclipses_possible,n_data_gaps,frac_intransit_near_gap,frac_all_near_gap,TIC,verdict,bls_period,bls_depth,bls_snr,period_band,lt3_eclipses,at_ceiling
25.083604846010758,12.541802423005379,0.9984225534726701,2,2.003159877592595,1,0.34782608695652173,0.03759398496240601,332950091,NOVEL,12.52201840032675,0.078382743606735,49.134847486744064,13-14.5d,True,True
349.74958074659435,39.8,0.7008023071947523,1,12.53945344926469,4,0.08333333333333333,0.04707993474714519,333584947,NOVEL,27.89193182635114,0.7078190212567409,539.4235872885062,26-28.5d,True,False
27.06293603605036,13.53146801802518,0.9917359278562156,2,2.0166658722582502,3,0.75,0.1078838174273859,333745611,NOVEL,13.419642990112909,0.1527860209056824,698.5331942374071,13-14.5d,True,True
762.3391324247632,39.8,0.8475377049524717,1,22.59987897468853,3,1.0,0.02825892335837453,335217393,NOVEL,33.73200065710837,0.5713247852951269,187.59315578374645,other,True,False
26.70844285876001,13.354221429380004,0.9704196727734508,2,2.060963989202752,1,0.0,0.022351797862001945,34044618,NOVEL,12.959199189643147,0.0602078056855171,160.00626527378307,13-14.5d,True,True
78.22877881082513,39.11438940541257,0.8551090482851389,1,2.338882981078097,6,1.0,0.07256752359258054,341194762,NOVEL,33.44706829871666,0.0327620934161151,329.7035151615128,other,True,False
104.00009325220708,39.8,0.8510324436894358,1,3.07046774659395,8,0.0,0.07696019300361882,341797047,NOVEL,33.87109125883954,0.0411909934028201,162.20313656599106,other,True,False
27.895788757033415,13.947894378516708,0.22302964543672787,5,8.967417744325777,1,0.0,0.022099447513812154,343034455,NOVEL,3.110793937829511,0.0398908938207056,27.58901255002687,other,False,False
51.02101829605658,25.51050914802829,0.03760582893825889,43,53.183244631665815,3,0.05737704918032787,0.06829765545361875,3516691,NOVEL,0.9593438431486404,0.0133155272651564,50.16086867429706,other,False,False
763.27548537849,39.8,0.02001301283920027,98,958.2653131052145,3,0.022776183644189384,0.03404272027642532,355981677,NOVEL,0.7965179110001707,0.2060720588114488,1389.5016789767071,other,False,False
27.895960549676374,13.947980274838187,0.05356247177691896,37,37.339576267685175,1,0.02982107355864811,0.02117863720073665,35727587,NOVEL,0.7470882998160427,0.0019910663231604,58.19149981825976,other,False,False
26.708477106722512,13.354238553361256,0.9846026366545358,1,2.031276299234341,1,0.1,0.022351797862001945,35877600,NOVEL,13.148618490153147,0.2086174386132887,213.40166591581175,13-14.5d,True,True
27.89596118478039,13.947980592390195,0.9995912406215602,2,2.0008178530619887,1,0.2413793103448276,0.02117863720073665,361568408,NOVEL,13.94227922451276,0.0538738594587026,36.91400708359609,13-14.5d,True,True
27.89595554204493,13.947977771022465,0.05790092824787611,31,34.541760564492556,1,0.03333333333333333,0.02117863720073665,362115607,KNOWN_OTHER_TYPE,0.8076008601229427,0.0331508678066683,100.58679309436036,other,False,False
