TIC,toi,toi_tess_disp,toi_tfopwg_disp,toi_period
120757718,1236.01,,KP,3.0300715
120960812,1237.01,,KP,12.72038
120960812,1237.02,,KP,6.238755
153951307,1238.01,,CP,3.2947689
153951307,1238.02,,CP,0.7645807
154716798,1239.01,,PC,12.6396982
29831208,124.01,,APC,1.8428078
158170594,1240.01,,KP,1.7208555
159107668,1241.01,,PC,4.7802597
198212955,1242.01,,PC,0.3814849
219698776,1243.01,,CP,4.6595169
219850915,1244.01,,CP,6.4002807
229781583,1245.01,,CP,4.8204512
230127302,1246.01,,CP,18.6548829
230127302,1246.02,,CP,4.3074513
230127302,1246.03,,CP,5.9041278
263003176,130.01,,CP,14.3391387
293687315,1300.01,,KP,2.8716983
356867115,1301.01,,CP,6.0964074
356867115,1301.02,,PC,
441797803,1302.01,,PC,5.6666168
185405474,1303.01,,FP,1.56029
186000935,1304.01,,FP,8.8735214
232679662,1305.01,,FP,7.8513774
233735068,1306.01,,FP,7.6869063
236815160,1307.01,,APC,2.534612
277014266,1308.01,,FP,1.3797091
287190564,1309.01,,FP,1.49861
235037761,131.01,,APC,6.2407826
294179389,1310.01,,FP,2.6796
378159598,1311.01,,APC,6.1406417
405904232,1312.01,,FP,11.0765081
11111899,1313.01,,FP,0.6193401
136848581,1314.01,,FP,2.6400663
137284119,1315.01,,FP,2.571698
15565627,1316.01,,FP,3.80509
165523947,1317.01,,FP,2.99041
167092385,1318.01,,PC,4.9865029
167098530,1319.01,,FP,0.890967
89020549,132.01,,CP,2.1096805
167403519,1320.01,,PC,3.9729429
195199644,1321.01,,FP,1.19888
240450679,1322.01,,APC,3.37644
256886630,1323.01,,FP,2.03905
266688542,1324.01,,FP,2.9424142
274942910,1325.01,,FP,1.0793011
275111900,1326.01,,FP,8.0428575
312083267,1327.01,,APC,3.9392211
330332501,1328.01,,FP,4.0157492
345996087,1329.01,,FP,2.01976
219338557,133.01,,FP,8.1996639
357457104,1330.01,,FP,1.748054
387664866,1331.01,,FP,2.65646
387664868,1332.01,,FP,2.65688
395171208,1333.01,,CP,4.7201912
42123111,1334.01,,FP,4.03349
89759617,1335.01,,FP,3.3295346
92783821,1336.01,,FP,3.8615978
160708862,1337.01,,KP,3.3448312
260128333,1338.01,,CP,95.174
269701147,1339.01,,CP,8.8803281
269701147,1339.02,,CP,28.580474
269701147,1339.03,,CP,38.3511223
234994474,134.01,,CP,1.4015183
233681149,1340.01,,FP,8.5865509
233390838,1341.01,,FP,6.4474918
256621916,1342.01,,FP,1.4136455
358631536,1343.01,,FP,3.4040139
1400770435,1344.01,,FP,13.7432169
160487753,1345.01,,PC,8.47134
219852882,1346.01,,CP,5.5025577
267561446,1284.01,,FP,1.283251
274662200,1285.01,,FP,1.2284388
277507814,1286.01,,APC,0.6166953
352764091,1287.01,,PC,9.6001126
365733349,1288.01,,CP,2.6998294
408203470,1289.01,,FP,0.581322
201248411,129.01,,CP,0.980972
417676622,1290.01,,KP,5.3987355
198186769,1291.01,,PC,7.16199
199688472,1292.01,,FP,1.4412175
202504234,1293.01,,PC,1.6849938
219015370,1294.01,,CP,3.9152737
219852584,1295.01,,CP,3.1968838
219854185,1296.01,,CP,3.9443668
229536616,1297.01,,FP,3.93034
237104103,1298.01,,CP,4.5371361
258777134,1299.01,,FP,5.929405
277447970,1361.01,,PC,2.237462
395142888,1362.01,,PC,1.9173816
230017325,1363.01,,FP,9.6926509
26880783,1364.01,,PC,1.7753644
367099243,1365.01,,FP,1.8286961
120602501,1366.01,,FP,14.8626982
129539786,1367.01,,FP,2.0881134
136971594,1368.01,,FP,1.25562
155005217,1369.01,,FP,7.6047417
176957796,137.01,,FA,4.8173797
155114483,1370.01,,FP,5.2651271
162130054,1371.01,,APC,5.0095595
164150539,1372.01,,FP,6.1600888
176899385,1373.01,,KP,3.8529998
190430205,1374.01,,FP,1.06884
