TIC,n_points_raw,n_points,status,error,n_dropped_physical,frac_dropped_physical,bls_period,bls_t0,bls_duration,bls_depth,bls_depth_err,bls_snr,n_in_transit,depth_flagged_implausible,insufficient_intransit_points,depth_odd,depth_even,odd_even_z,possible_half_period_alias,n_odd,n_even,secondary_phase,secondary_depth,secondary_sigma,secondary_detected,secondary_flagged_implausible
459536921,1107,1107,OK,,0,0.0,2.7250475168582238,1569.4823775679808,0.058,0.03115634947904357,0.0009469120099627005,32.903109424360174,27.0,False,False,0.033089019471353454,0.02962265903326089,0.5620270624220838,False,15.0,16.0,0.495,0.010366659889906038,3.8506161193571877,False,False
46669598,1047,1029,OK,,18,0.017191977077363897,13.148686288878995,1627.7041117447075,0.084,0.04712683695058921,7.672321240346521e-05,614.2448350932282,4.0,True,True,,,,False,1.0,4.0,-0.034999999999999976,0.025423169055683204,2.1190214713366795,False,False
469212596,2211,2211,OK,,0,0.0,13.590871367348434,1555.7406317424684,0.35000000000000003,0.11539038768432895,0.0009573833167420011,120.5268419309888,19.0,False,False,0.04482186545354194,0.12331638558707725,8.820268028840072,True,5.0,17.0,-0.034999999999999976,0.02014652675479678,2.0213692723311993,False,False
469451734,1148,1120,OK,,28,0.024390243902439025,13.414288601519807,1655.4451360624873,0.058,0.02372899561820486,0.0008792819701894355,26.986787427351214,4.0,True,True,,,,False,2.0,6.0,-0.044999999999999984,0.0041267067272027225,2.990420256040296,False,False
49209767,14243,14241,OK,,2,0.00014041985536754898,3.0114985881410923,2309.1269854839234,0.244,0.5637923068688301,0.0009010641126608147,625.696106355816,1033.0,False,False,0.48663694102645383,0.2553325799181718,50.832344120469514,True,590.0,675.0,0.18500000000000005,0.028020514231050564,0.8493809467801283,False,False
55401584,12286,12263,OK,,23,0.0018720494872212273,26.66488757143112,1344.8233512294494,0.028,0.8258056183296693,8.840347880214287e-05,9341.324906205524,12.0,False,False,0.0021762248201735446,-0.000519358259249536,0.10488748416161552,False,7.0,8.0,0.42500000000000004,0.0007927719681365408,2.4324317436514944,False,False
58739772,1069,1066,OK,,3,0.002806361085126286,10.094691847599538,1579.3074490872891,0.02,0.9898421970381702,4.858003887029656e-05,20375.49207568445,1.0,True,True,,,,False,2.0,1.0,0.20500000000000002,0.00455331937582748,2.3011686853164934,False,False
59656329,1934,1934,OK,,0,0.0,0.879620332288007,1492.2228122927404,0.084,0.008240192855167213,0.00011598994574616085,71.04230286649613,182.0,False,False,0.004786832521318951,0.005047218601059389,0.02353628967977459,False,116.0,104.0,-0.495,0.002632999591286822,2.7200072007277285,False,False
72005925,1086,1086,OK,,0,0.0,3.4777928789113637,1571.7884259262585,0.5,0.00286864548298994,0.0001297910352801266,22.1020309823292,135.0,False,False,0.00135516108916367,0.002248325713833821,0.09248494169605508,False,53.0,107.0,-0.15499999999999997,0.0020844882740931325,2.6168410407882092,False,False
78008286,1100,1100,OK,,0,0.0,12.365215302897239,1543.8238074555125,0.244,0.40589911932300843,0.0006059172528070763,669.8919983588031,4.0,True,True,,,,False,0.0,7.0,0.06500000000000006,0.1723162326041291,8.06225344469765,True,False
81551538,1086,1086,OK,,0,0.0,2.978437376482449,1570.166115880319,0.5,0.002209263951612841,5.625214269655213e-05,39.27430753225786,165.0,False,False,0.001588023754591772,0.0015443968572783628,0.011473164657776471,False,112.0,86.0,0.245,0.0013232396151577897,2.043934759238868,False,False
82132592,1966,1966,OK,,0,0.0,13.342269225799532,1530.1621932606279,0.5,0.09343198285481308,0.0006328243337859089,147.64284157003055,19.0,False,False,0.12956071984932938,0.08704218717927803,10.597429882014035,True,4.0,17.0,0.04500000000000004,0.010571587141616323,8.25464068555441,True,False
97011250,1056,1039,OK,,17,0.016098484848484848,8.377088973769489,1633.3154302982975,0.02,0.16526337168616717,0.0014398905014688273,114.77495789963375,3.0,True,True,,,,False,1.0,3.0,0.125,0.1049282849285672,4.436831000277198,False,False
97032752,1109,1109,OK,,0,0.0,0.7927609814185551,1816.6974483940885,0.35000000000000003,0.00869522268740714,8.296950208765457e-05,104.80022741634536,478.0,False,False,0.008179131819420538,0.008722871395385745,2.0160042847512383,False,285.0,289.0,0.455,0.0007140140491519453,0.8882954524075778,False,False
