target_TIC,nbr_TIC,nbr_Tmag,sep_arcsec,nbr_disposition
119459681,748358642,18.9991,55.56808940764413,
119459681,748358854,20.2355,55.89633458058142,
119459681,119459664,17.3506,58.35086023163775,
119459681,748358651,19.4132,58.84648036267762,
119459681,119459699,18.1959,62.151703174181556,
119459681,748358652,19.8781,62.84001350216746,
122328031,808626916,19.1161,7.750180820391845,
122328031,808626920,19.743,8.584303672487351,
122328031,808626883,19.395,12.976498439337794,
122328031,808626887,20.4554,15.406345115845117,
122328031,808626913,19.3273,16.364558207533978,
122328031,122328039,17.071,16.718569912811258,
122328031,122328023,16.8534,17.84990588186259,
122328031,808626881,20.1918,18.55363155823168,
122328031,808626891,19.5371,19.805539871142802,
122328031,122328016,18.7641,20.30451674160932,
122328031,122328033,17.0955,23.27803740660376,
122328031,122328014,14.9483,25.265683669500053,
122328031,808626861,20.2949,27.93859567042982,
122328031,122501809,17.8851,29.60608896834645,
122328031,808626882,19.0466,29.817982309139474,
122328031,808626917,19.7001,30.49903709980204,
122328031,122328035,15.9966,30.971071030567167,
122328031,122328055,12.7081,31.444578088482718,
122328031,808626884,18.6503,31.782817725888513,
122328031,808626914,18.5144,31.948192513615755,
122328031,808626886,19.8736,32.21914172850884,
122328031,122328051,17.0616,32.57643981387277,
122328031,122328027,18.0287,33.02688575459069,
122328031,122328022,16.3267,34.36678226788839,
122328031,808626892,19.6166,36.69609640595315,
122328031,122328003,16.3332,36.937312489405016,
122328031,808626919,19.2838,38.83522449168062,
122328031,808626880,19.5271,39.039514310694166,
122328031,122328048,18.5497,39.79069786733281,
122328031,122328058,14.052,43.12752943346298,
122328031,122328065,16.9759,43.26266280922521,
122328031,808626862,19.8533,43.57945938871935,
122328031,808626915,19.1049,44.259855629927344,
122328031,808626918,19.6448,44.989641591671294,
122328031,808626900,18.7494,45.02963735459913,
122328031,808643954,20.3872,45.49071311913256,
122328031,122328013,17.2911,45.74003894033731,
122328031,122328037,17.6245,46.886329029169985,
122328031,122327995,18.3654,47.08606370178585,
122328031,122328011,13.4263,47.88281721671319,
122328031,122327993,16.1303,48.49912687102836,
122328031,122501832,17.1347,50.13177790928793,
122328031,808626885,19.6229,52.56442446539701,
122328031,808643958,20.5126,53.14433858267878,
122328031,808626889,18.9746,53.51366600354096,
122328031,808626879,19.3084,53.695335211227295,
122328031,808626895,20.0644,53.81709066349164,
122328031,808643959,20.5705,54.389632230439396,
122328031,122328006,17.4563,54.43523122419959,
122328031,122328020,16.5342,54.594832582353945,
122328031,808626903,19.3809,54.687905972558674,
122328031,808626893,20.1365,55.001846824599056,
122328031,808626921,18.7305,56.04791028523624,
122328031,808626911,20.0506,56.17943320866043,
122328031,808626878,18.3969,56.36703865953072,
122328031,808626859,18.7997,56.416661656978505,
122328031,808626890,18.9774,56.8248226415906,
122328031,122327988,13.6167,57.18472747634553,
122328031,808626853,19.0107,57.270793270015304,
122328031,808643925,17.9278,58.55596442375523,
122328031,808626858,18.554,59.203925168564204,
122328031,808626857,18.6832,59.391619842564566,
122328031,808626860,19.6715,59.73867434203548,
122328031,122501821,17.3479,60.29221119856199,
122328031,808626924,19.1324,60.79901086291409,
122328031,122501799,17.8246,60.969833432027755,
122328031,808626854,17.9891,60.9743505983125,
122328031,808643956,20.6375,61.040674552875096,
122328031,808626912,19.4968,61.61025237560927,
122328031,808626868,19.4242,61.70013532721914,
122328031,808626888,19.6556,62.28897988464421,
122328031,808643926,19.0198,62.372167659788246,
122328031,122328075,16.8287,62.62384701907136,
125356758,125356761,18.4566,18.75516232587097,
125356758,835904498,18.2485,18.891350898266765,
125356758,835904499,18.4566,19.908309637121558,DUPLICATE
125356758,835904807,19.1333,21.44976078608002,
125356758,835904500,20.6416,23.31085195156038,
125356758,125356756,17.7985,23.729286388661833,
125356758,835904501,18.9782,26.431776034770365,
125356758,835904493,18.3384,27.523131318878388,
125356758,835904811,19.787,29.111309498575903,
125356758,125356748,14.9135,30.321376728542074,
125356758,835904808,18.2913,30.87819483083142,
125356758,827789,17.3342,37.49711622753837,
125356758,835904804,17.8746,37.662697113536844,
125356758,835904494,19.2976,37.90614233438679,
125356758,835904495,19.8479,38.3642254375092,
125356758,827812,17.0184,39.149764491004056,
125356758,835904492,18.0052,41.243910330724646,
125356758,835904489,20.2332,41.773937326325246,
125356758,125356757,17.8737,42.064290247749774,
125356758,125356770,17.2221,42.53622562269015,
125356758,125356764,16.4013,43.8172775062173,
125356758,835904496,20.3166,45.113321580602694,
125356758,835904488,20.7947,46.3324874668492,
125356758,835904491,20.2823,48.242404941159926,
125356758,835904809,19.0108,51.855781375921765,
