TIC,tess_eb_period,tess_eb_morph
448852739,1.1746333,0.526
112099606,10.2868251,0.166
379783522,2.4500945,0.486
357911163,4.7818281,0.236
272467271,1.3475265,0.544
129116176,2.017322,0.429
83939434,0.9210253,0.77
73455146,0.6693594,0.855
83449549,3.4284422,0.531
287669537,1.2950907,0.579
160150808,0.3740459,0.594
159864610,3.6398863,0.449
166624433,2.4827232,0.399
260504147,8.4183061,0.179
55383975,48.0513013,0.034
451282261,1.3330077,0.841
112098034,3.9102627,0.394
141124793,5.887035,0.266
127955334,3.0825801,0.39
48227288,2.8965088,0.359
394272819,2.9881577,0.891
179637488,3.2969808,0.679
394508465,5.4021729,0.469
166660531,0.3431742,0.766
411712609,0.2902786,0.969
309434176,3.8187935,0.348
160484494,2.8601083,0.451
310556491,1.5553632,0.495
203387944,3.3108416,0.477
261089147,0.4616656,0.793
260541250,0.3359386,0.815
350743714,7.7575749,0.17
451211626,2.4525335,0.277
359308549,1.2227943,0.499
311925584,3.64597,0.151
258519658,0.8877353,0.388
91961,5.2826248,0.175
55659311,31.1134188,0.049
158979332,1.5321936,0.926
396004353,0.1315314,0.502
30540538,1.599844,0.726
30382918,0.5719608,0.536
271225404,2.1194569,0.345
278296621,2.500483,0.489
31134762,3.7872526,0.455
185466937,0.2743782,0.838
75969405,4.6107416,0.306
76658755,1.0498694,0.341
261335113,8.1305944,0.065
261105201,0.95557,0.792
359618989,1.8746789,0.606
300161053,13.3068164,0.122
404144841,0.4477342,0.651
30287190,3.1243419,0.237
278413303,1.842653,0.899
30993392,5.7945445,0.289
450798369,1.1585309,0.607
76698707,0.5278686,0.545
350445771,3.1904288,0.232
122285268,0.7208626,0.644
357713892,7.1001327,0.216
270348090,2.8194632,0.23
359767082,3.0692448,0.762
35349987,42.9559995,0.018
179966966,1.5481001,0.797
55602946,4.9386468,0.313
363885457,0.3517662,0.901
150187916,1.1162148,0.92
309598681,0.8485798,0.504
410578942,5.9026635,0.583
258837989,0.8870531,0.659
331183881,4.283982,0.254
307927495,20.5564876,0.157
243642384,1.7468124,0.744
449650980,1.2783847,0.78
