TIC,bls_period,bls_depth,bls_snr,n_eclipses_observed,gap_edge_suspect,verdict,exoplanet_conflict,vsx_match,vsx_name,vsx_type,vsx_period,asassn_match,asassn_queried_ok,asassn_name,asassn_type,asassn_period,gaia_veb_match,gaia_veb_period,gaia_class_match,gaia_class,gaia_class_score,tess_eb_match,tess_eb_period,tess_eb_morph,toi_match,toi,toi_tess_disp,toi_tfopwg_disp,toi_period,period_check_source,period_check
76879277,0.655911057081352,0.0749384754400554,380.0923082697573,172.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
806803694,21.862646357974292,0.0510637464363392,340.48280100376246,3.0,True,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
81551538,2.978437376482449,0.0022092639516128,39.27430753225786,7.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
87175731,0.8567099095358135,0.0231636507815942,53.1928150802693,19.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
91599324,7.011139459958951,0.0624009737728471,147.27486856777858,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
97032752,0.7927609814185551,0.0086952226874071,104.80022741634536,31.0,False,KNOWN_OTHER_TYPE,False,True,Gaia DR3 185889143805613184,DSCT|GDOR|SXPHE,,False,True,,,,False,,True,DSCT|GDOR|SXPHE,0.09703679,False,,,False,,,,,,no_catalog_period
100424264,1.3228437147457428,0.0140513869181793,317.36829543381776,17.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
111122174,1.3747277442257522,0.0003540693232247,33.27088068936675,18.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
111381330,2.239914316732505,0.0161697265128179,79.8373098073775,48.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
120017739,10.49014469075967,0.0246961188118027,25.547916887953768,3.0,False,NOVEL,False,False,,,,False,True,,,,False,,False,,,False,,,False,,,,,,no_catalog_period
