TIC,Tmag,status,author_used,n_sectors,n_points,authors_tried,error
411536289,12.37,OK,GSFC-ELEANOR-LITE,2,2165,GSFC-ELEANOR-LITE,
342327688,12.85,OK,QLP,4,19382,QLP,
222705458,12.36,OK,QLP,2,10384,QLP,
411437824,12.22,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
93196990,11.22,OK,GSFC-ELEANOR-LITE,2,1966,GSFC-ELEANOR-LITE,
180182305,11.98,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
29455183,7.38,OK,SPOC,3,48492,SPOC,
43796218,11.45,OK,TESS-SPOC,3,4958,TESS-SPOC,
251902931,12.95,OK,QLP,1,2537,QLP,
469311289,11.68,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
224640575,12.7,OK,QLP,2,14297,QLP,
153030770,12.59,OK,GSFC-ELEANOR-LITE,2,1934,GSFC-ELEANOR-LITE,
387142211,8.6,OK,TESS-SPOC,3,19778,TESS-SPOC,
309656476,8.84,OK,TESS-SPOC,7,62989,TESS-SPOC,
330872401,11.6,OK,QLP,5,30240,QLP,
237093537,11.45,OK,TESS-SPOC,1,4035,TESS-SPOC,
208339985,12.66,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
174049941,12.71,OK,QLP,1,10383,QLP,
358870305,12.26,OK,GSFC-ELEANOR-LITE,2,2185,GSFC-ELEANOR-LITE,
60922988,12.31,OK,QLP,5,29139,QLP,
335497763,12.7,OK,QLP,3,25762,QLP,
159800860,12.94,OK,GSFC-ELEANOR-LITE,1,1029,GSFC-ELEANOR-LITE,
42208515,12.55,OK,GSFC-ELEANOR-LITE,1,1054,GSFC-ELEANOR-LITE,
282344989,12.87,OK,QLP,5,33002,QLP,
230269712,12.59,OK,QLP,4,19536,QLP,
399770041,12.01,OK,GSFC-ELEANOR-LITE,2,2188,GSFC-ELEANOR-LITE,
313945902,13.35,OK,GSFC-ELEANOR-LITE,1,1134,GSFC-ELEANOR-LITE,
230232470,13.31,OK,QLP,3,15177,QLP,
84712980,13.61,NO_DATA,,0,0,,
374153172,13.71,OK,GSFC-ELEANOR-LITE,2,2185,GSFC-ELEANOR-LITE,
34012277,13.86,NO_DATA,,0,0,,
72393771,13.51,NO_DATA,,0,0,,
296467859,13.43,OK,QLP,10,67002,QLP,
233459038,13.26,OK,TESS-SPOC,6,14763,TESS-SPOC,
43676321,13.56,OK,TASOC,2,2292,TASOC,
186142270,13.47,OK,QLP,9,66215,QLP,
394111941,13.21,OK,QLP,4,29392,QLP,
313365243,13.18,OK,GSFC-ELEANOR-LITE,1,1081,GSFC-ELEANOR-LITE,
70378879,13.11,OK,QLP,5,30422,QLP,
64266696,13.65,NO_DATA,,0,0,,
376043469,13.73,NO_DATA,,0,0,,
231203994,13.08,OK,GSFC-ELEANOR-LITE,1,904,GSFC-ELEANOR-LITE,
414257425,13.81,OK,GSFC-ELEANOR-LITE,1,1086,GSFC-ELEANOR-LITE,
236791292,13.63,DOWNLOAD_ERROR,,0,0,TARS,Error in reading Data product C:\Users\Admin\.cache\lightkurve\mastDownload\HLSP\hlsp_tars_tess_ffi_s0014-0000000236791287_tess\hlsp_tars_tess_ffi_s0014-0000000236791287_tess_v01_lc.fits of type gener
335219408,13.24,OK,QLP,3,25702,QLP,
132196354,13.28,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
47925310,13.08,OK,QLP,2,13256,QLP,
393923433,13.28,OK,GSFC-ELEANOR-LITE,1,862,GSFC-ELEANOR-LITE,
349701853,13.06,OK,QLP,4,22012,QLP,
269667790,13.87,NO_DATA,,0,0,,
299139880,13.35,OK,GSFC-ELEANOR-LITE,2,2211,GSFC-ELEANOR-LITE,
363753824,13.23,OK,QLP,3,3453,QLP,
